,id,name,cost,position,home_team,away_team,kickoff_time,is_home
0,1,Cédric Alves Soares,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
1,2,Bernd Leno,45,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
2,3,Granit Xhaka,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
3,4,Mohamed Elneny,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
4,5,Rob Holding,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
5,6,Thomas Partey,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
6,7,Martin Ødegaard,65,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
7,8,Kieran Tierney,50,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
8,9,Nicolas Pépé,55,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
9,10,Benjamin White,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
10,11,Eddie Nketiah,70,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
11,12,Emile Smith Rowe,60,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
12,13,Bukayo Saka,80,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
13,14,Takehiro Tomiyasu,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
14,15,Aaron Ramsdale,50,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
15,16,Gabriel dos Santos Magalhães,50,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
16,17,Nuno Varela Tavares,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
17,18,Albert Sambi Lokonga,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
18,19,Gabriel Martinelli Silva,60,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
19,20,Pablo Marí Villar,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
20,21,Ainsley Maitland-Niles,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
21,22,Lucas Torreira di Pascua,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
22,23,Reiss Nelson,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
23,24,Matt Turner,40,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
24,25,Fábio Ferreira Vieira,60,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
25,26,William Saliba,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
26,27,Marcus Oliveira Alencar,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
27,28,Gabriel Fernando de Jesus,80,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False
28,29,Philippe Coutinho Correia,70,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
29,30,Danny Ings,70,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
30,31,Emiliano Martínez Romero,50,GKP,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
31,32,Calum Chambers,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
32,33,Lucas Digne,50,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
33,34,Bertrand Traoré,50,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
34,35,Robin Olsen,40,GKP,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
35,36,Morgan Sanson,45,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
36,37,John McGinn,55,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
37,38,Kortney Hause,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
38,39,Tyrone Mings,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
39,40,Ollie Watkins,75,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
40,41,Marvelous Nakamba,45,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
41,42,Emiliano Buendía Stati,60,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
42,43,Matty Cash,50,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False
